year,rba_cash_rate_pct,owner_occupier_variable_mortgage_pct,investment_loan_variable_pct,3yr_fixed_pct
2010,4.50,7.35,7.60,7.60
2011,4.25,7.05,7.30,7.20
2012,3.00,6.00,6.25,5.80
2013,2.50,5.50,5.75,5.20
2014,2.50,5.40,5.65,5.10
2015,2.15,5.25,5.55,4.90
2016,1.75,4.90,5.25,4.40
2017,1.50,4.80,5.10,4.30
2018,1.50,5.20,5.55,4.80
2019,1.22,4.75,5.10,3.90
2020,0.25,3.15,3.45,2.40
2021,0.10,2.65,2.95,2.30
2022,2.85,5.40,5.75,5.50
2023,4.10,6.45,6.80,6.20
2024,4.35,6.50,6.85,6.30
2025,4.10,6.20,6.55,5.95
2026,3.85,5.95,6.30,5.70
