year,sydney_pct,melbourne_pct,brisbane_pct,perth_pct,adelaide_pct,hobart_pct,darwin_pct,canberra_pct,national_pct
2010,7.0,8.5,4.5,5.5,6.0,3.5,-2.0,6.5,6.5
2011,5.0,1.5,3.0,-2.5,2.0,2.0,-7.0,4.0,2.5
2012,1.0,0.5,1.0,-2.0,3.0,1.0,-5.0,3.0,1.0
2013,8.0,6.0,2.5,8.0,3.5,2.5,2.5,5.0,5.5
2014,14.0,7.5,3.0,3.0,5.0,4.0,-1.0,7.0,8.5
2015,13.0,10.0,4.5,-1.5,3.0,5.0,-5.0,7.0,8.0
2016,9.5,11.0,5.0,-5.0,5.0,8.0,-7.0,8.5,8.0
2017,5.0,13.0,4.5,-3.0,5.0,12.0,-6.0,9.0,6.0
2018,-5.0,-5.0,1.5,-3.5,2.0,8.0,-5.0,3.0,-3.0
2019,-4.5,-5.5,0.5,-6.5,1.0,4.0,-5.0,3.5,-4.0
2020,3.0,1.0,4.5,3.0,5.0,6.0,4.5,7.0,3.0
2021,27.0,20.0,28.0,12.5,22.0,26.0,12.0,25.0,22.0
2022,-12.0,-9.0,7.0,5.0,9.0,-4.0,3.0,-2.0,-5.0
2023,11.0,4.0,15.0,15.0,9.0,-1.5,4.0,2.0,8.0
2024,5.5,1.0,14.0,24.0,14.0,1.0,5.0,3.5,8.0
2025,3.0,0.5,8.0,12.0,8.0,2.0,3.5,3.0,5.0
2026,2.5,1.5,5.0,6.0,5.0,2.5,3.0,3.5,3.5
