year,sydney_pct,melbourne_pct,brisbane_pct,perth_pct,adelaide_pct,hobart_pct,darwin_pct,canberra_pct,national_pct
2010,4.5,5.0,4.0,5.0,4.5,3.0,2.0,4.0,4.5
2011,4.0,5.5,3.5,4.5,4.0,2.5,1.5,4.0,4.0
2012,3.5,3.5,2.5,2.5,3.5,2.0,0.5,3.5,3.0
2013,3.5,3.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0
2014,5.0,4.0,2.5,3.0,3.0,2.5,0.0,3.5,4.0
2015,7.0,5.0,2.0,0.0,2.5,3.0,-2.0,3.0,5.0
2016,7.5,5.5,2.0,-3.5,2.5,5.0,-4.0,4.0,5.0
2017,5.0,5.0,2.0,-4.0,2.0,8.0,-3.5,4.0,4.0
2018,3.0,2.0,1.5,-5.0,2.0,10.0,-4.0,3.5,1.5
2019,1.5,2.0,1.0,-4.0,2.5,6.0,-3.0,2.5,1.0
2020,-5.0,-7.5,5.0,4.5,4.0,3.5,2.0,4.0,-1.0
2021,2.5,1.0,10.0,15.0,10.0,12.0,8.0,9.0,5.0
2022,16.0,12.0,20.0,22.0,18.0,8.0,14.0,15.0,15.0
2023,9.5,10.0,12.0,15.0,12.0,5.0,10.0,8.0,10.0
2024,5.5,6.0,8.0,12.0,8.0,3.0,8.0,5.0,7.0
2025,4.0,3.5,5.0,7.0,5.0,2.5,5.5,4.0,4.5
2026,3.5,3.0,4.0,5.0,4.0,2.0,4.0,3.5,3.5
