year,age,liquid_assets,non_liquid_assets,growth,withdrawal,healthcare_cost,aged_care_cost,end_balance,total_net_worth,pension_received
19,64,4683772.758836376,0,43302.379163639256,131713.4850700773,5244.640522988262,0,4683772.758836376,4683772.758836376,0
20,65,3440912.8743365174,0,-1107514.3835030438,135345.5009968141,5247.000611223607,0,3440912.8743365174,3440912.8743365174,0
21,66,3269980.128001985,0,-31851.057226376488,139081.6891081556,5249.361761498659,0,3269980.128001985,3269980.128001985,0
22,67,3313850.1523845824,0,186795.0634983946,142925.0391157973,5251.7239742913325,0,3313850.1523845824,3313850.1523845824,0
23,68,3500998.553422088,0,334027.02757365233,146878.62653614694,5254.087250079764,0,3500998.553422088,3500998.553422088,0
24,69,3415182.9988975483,0,65130.06062838031,150945.6151529196,5256.4515893423,0,3415182.9988975483,3415182.9988975483,0
25,70,3371566.9674950484,0,111513.22814790935,155129.25955040945,5258.816992557506,0,3371566.9674950484,3371566.9674950484,0
26,71,3166454.2514780215,0,-45679.808297560296,159432.9077194665,5261.183460204156,0,3166454.2514780215,3166454.2514780215,0
27,72,3541513.0577008915,0,538918.8099611343,163860.00373826438,5263.550992761248,0,3541513.0577008915,3541513.0577008915,0
28,73,3590264.5731653133,0,217165.60599442886,168414.09053000706,5265.919590707991,0,3590264.5731653133,3590264.5731653133,0
29,74,3474789.712207024,0,57623.95174149137,173098.81269978077,5268.28925452381,0,3474789.712207024,3474789.712207024,0
30,75,3436907.712455214,0,140035.91970101433,177917.91945282414,5270.659984688346,0,3436907.712455214,3436907.712455214,0
31,76,3201174.194634078,0,-52858.250224583004,182875.26759655276,5273.031781681457,0,3201174.194634078,3201174.194634078,0
32,77,3145299.4330746606,0,132100.06306932407,187974.82462874133,5275.4046459832125,0,3145299.4330746606,3145299.4330746606,0
33,78,3111586.7896923055,0,159508.0285319821,193220.67191433712,5277.778578073906,0,3111586.7896923055,3111586.7896923055,0
34,79,3228138.007059827,0,315168.2253209695,198617.00795344805,5280.153578434039,0,3228138.007059827,3228138.007059827,0
35,80,3231094.831983238,0,207124.9766665322,204168.1517431212,5282.529647544336,0,3231094.831983238,3231094.831983238,0
36,81,3318320.5531002474,0,297104.2673526152,209878.54623560567,5284.906785885731,0,3318320.5531002474,3318320.5531002474,0
37,82,2950506.499316444,0,-152061.29188793682,215752.76189586628,5287.28499393938,0,2950506.499316444,2950506.499316444,0
38,83,2887997.87231093,0,159286.87335568454,221795.50036119885,5289.664272186653,0,2887997.87231093,2887997.87231093,0
39,84,2670738.3212019135,0,10752.047096859578,228011.59820587595,5292.044621109137,0,2670738.3212019135,2670738.3212019135,0
40,85,2421866.110113481,0,-14466.180274594033,234406.03081383827,5294.426041188636,0,2421866.110113481,2421866.110113481,0
41,86,2384581.296236994,0,203699.10248604475,240983.91636253177,5296.808532907171,0,2384581.296236994,2384581.296236994,0
42,87,2363602.485055589,0,226771.7087396768,247750.51992108184,5299.1920967469805,0,2363602.485055589,2363602.485055589,0
43,88,2098386.800244746,0,66980.15587879435,332195.84068963747,5301.576733190516,77484.5830235537,2098386.800244746,2098386.800244746,0
44,89,1787782.765123044,0,28752.24912023946,339356.2842419414,5303.962442720453,77484.5830235537,1787782.765123044,1787782.765123044,0
45,90,1586037.1485632206,0,144976.5485680792,346722.16512790235,5306.349225819677,77484.5830235537,1586037.1485632206,1586037.1485632206,0
46,91,1356010.0267442144,0,124272.25754966143,354299.3793686677,5308.737082971296,77484.5830235537,1356010.0267442144,1356010.0267442144,0
47,92,1176203.1927038233,0,182287.1581607874,362093.9922011785,5311.126014658634,77484.5830235537,1176203.1927038233,1176203.1927038233,0
48,93,951588.9323759372,0,145497.98260677606,370112.2429346622,5313.51602136523,77484.5830235537,951588.9323759372,951588.9323759372,0
49,94,625477.7003180671,0,44776.25461396039,370887.4866718305,5315.907103574846,77484.5830235537,625477.7003180671,625477.7003180671,7473.063274676897
50,95,268954.62214570487,0,-2587.301726032816,353935.77644632943,5318.2992617714535,77484.5830235537,268954.62214570487,268954.62214570487,32909.739375190766
51,96,-6910.319905207027,0,-2812.59243578877,273052.3496151231,5320.692496439251,0,-6910.319905207027,-6910.319905207027,45037.0
